state.to	state.from	total	statecode.to	statecode.from
Florida	Oregon	1568	FL	OR
Florida	Pennsylvania	28826	FL	PA
Florida	Rhode Island	2523	FL	RI
Florida	South Carolina	13949	FL	SC
Florida	South Dakota	1400	FL	SD
Florida	Tennessee	19864	FL	TN
Florida	Texas	29706	FL	TX
Florida	Utah	1932	FL	UT
Florida	Vermont	1480	FL	VT
Florida	Virginia	23377	FL	VA
Florida	Washington	3819	FL	WA
Florida	West Virginia	3479	FL	WV
Florida	Wisconsin	9195	FL	WI
Florida	Wyoming	924	FL	WY
Georgia	Alabama	16372	GA	AL
Georgia	Alaska	669	GA	AK
Georgia	Arizona	1713	GA	AZ
Georgia	Arkansas	1668	GA	AR
Georgia	California	15675	GA	CA
Georgia	Colorado	4456	GA	CO
Georgia	Connecticut	1995	GA	CT
Georgia	Delaware	205	GA	DE
Georgia	District of Columbia 	652	GA	DC
Georgia	Florida	47286	GA	FL
Georgia	Georgia	0	GA	GA
Georgia	Hawaii	995	GA	HI
Georgia	Idaho	230	GA	ID
Georgia	Illinois	9960	GA	IL
Georgia	Indiana	5212	GA	IN
Georgia	Iowa	908	GA	IA
Georgia	Kansas	2614	GA	KS
Georgia	Kentucky	5313	GA	KY
Georgia	Louisiana	3277	GA	LA
Georgia	Maine	735	GA	ME
Georgia	Maryland	4328	GA	MD
Georgia	Massachusetts	2496	GA	MA
Georgia	Michigan	5744	GA	MI
Georgia	Minnesota	3078	GA	MN
Georgia	Mississippi	4395	GA	MS
Georgia	Missouri	4897	GA	MO
Georgia	Montana	185	GA	MT
Georgia	Nebraska	1010	GA	NE
Georgia	Nevada	2526	GA	NV
Georgia	New Hampshire	649	GA	NH
Georgia	New Jersey	7403	GA	NJ
Georgia	New Mexico	1122	GA	NM
Georgia	New York	14853	GA	NY
Georgia	North Carolina	16095	GA	NC
Georgia	North Dakota	0	GA	ND
Georgia	Ohio	7840	GA	OH
Georgia	Oklahoma	1543	GA	OK
Georgia	Oregon	1528	GA	OR
Georgia	Pennsylvania	6493	GA	PA
Georgia	Rhode Island	205	GA	RI
Georgia	South Carolina	17395	GA	SC
Georgia	South Dakota	0	GA	SD
Georgia	Tennessee	18087	GA	TN
Georgia	Texas	16078	GA	TX
Georgia	Utah	1523	GA	UT
Georgia	Vermont	157	GA	VT
Georgia	Virginia	15852	GA	VA
Georgia	Washington	2377	GA	WA
Georgia	West Virginia	1300	GA	WV
Georgia	Wisconsin	3352	GA	WI
Georgia	Wyoming	879	GA	WY
Hawaii	Alabama	240	HI	AL
Hawaii	Alaska	164	HI	AK
Hawaii	Arizona	2701	HI	AZ
Hawaii	Arkansas	194	HI	AR
Hawaii	California	10952	HI	CA
Hawaii	Colorado	1618	HI	CO
Hawaii	Connecticut	781	HI	CT
Hawaii	Delaware	0	HI	DE
Hawaii	District of Columbia 	159	HI	DC
Hawaii	Florida	2013	HI	FL
Hawaii	Georgia	1231	HI	GA
Hawaii	Hawaii	0	HI	HI
Hawaii	Idaho	359	HI	ID
Hawaii	Illinois	1936	HI	IL
Hawaii	Indiana	471	HI	IN
Hawaii	Iowa	308	HI	IA
Hawaii	Kansas	917	HI	KS
Hawaii	Kentucky	1108	HI	KY
Hawaii	Louisiana	455	HI	LA
Hawaii	Maine	255	HI	ME
Hawaii	Maryland	654	HI	MD
Hawaii	Massachusetts	601	HI	MA
Hawaii	Michigan	834	HI	MI
Hawaii	Minnesota	733	HI	MN
Hawaii	Mississippi	164	HI	MS
Hawaii	Missouri	633	HI	MO
Hawaii	Montana	98	HI	MT
Hawaii	Nebraska	191	HI	NE
Hawaii	Nevada	1193	HI	NV
Hawaii	New Hampshire	80	HI	NH
Hawaii	New Jersey	524	HI	NJ
Hawaii	New Mexico	115	HI	NM
Hawaii	New York	2191	HI	NY
Hawaii	North Carolina	2486	HI	NC
Hawaii	North Dakota	0	HI	ND
Hawaii	Ohio	539	HI	OH
Hawaii	Oklahoma	1041	HI	OK
Hawaii	Oregon	2244	HI	OR
Hawaii	Pennsylvania	981	HI	PA
Hawaii	Rhode Island	429	HI	RI
Hawaii	South Carolina	1214	HI	SC
Hawaii	South Dakota	0	HI	SD
Hawaii	Tennessee	331	HI	TN
Hawaii	Texas	2031	HI	TX
Hawaii	Utah	1707	HI	UT
Hawaii	Vermont	0	HI	VT
Hawaii	Virginia	3402	HI	VA
Hawaii	Washington	3176	HI	WA
